On Time,Off Time,Running Duration,Off Duration
2020-12-31 03:05:20+00:00,2020-12-31 03:12:05+00:00,0:06:45,0:33:33
2020-12-31 03:45:38+00:00,2020-12-31 03:52:35+00:00,0:06:57,0:32:40
2020-12-31 04:25:15+00:00,2020-12-31 04:32:13+00:00,0:06:58,0:33:07
2020-12-31 05:05:20+00:00,2020-12-31 05:12:04+00:00,0:06:44,0:33:15
2020-12-31 05:45:19+00:00,2020-12-31 05:52:26+00:00,0:07:07,0:32:33
2020-12-31 06:24:59+00:00,2020-12-31 06:31:42+00:00,0:06:43,0:33:23
2020-12-31 07:05:05+00:00,2020-12-31 07:11:53+00:00,0:06:48,0:33:37
2020-12-31 07:45:30+00:00,2020-12-31 07:52:38+00:00,0:07:08,0:34:20
2020-12-31 08:26:58+00:00,2020-12-31 08:34:19+00:00,0:07:21,0:34:07
2020-12-31 09:08:26+00:00,2020-12-31 09:15:45+00:00,0:07:19,0:34:29
2020-12-31 09:50:14+00:00,2020-12-31 09:57:19+00:00,0:07:05,0:34:01
2020-12-31 10:31:20+00:00,2020-12-31 10:38:13+00:00,0:06:53,0:33:58
2020-12-31 11:12:11+00:00,2020-12-31 11:19:09+00:00,0:06:58,0:34:09
2020-12-31 11:53:18+00:00,2020-12-31 12:00:47+00:00,0:07:29,0:34:26
2020-12-31 12:35:13+00:00,2020-12-31 12:42:22+00:00,0:07:09,0:33:56
2020-12-31 13:16:18+00:00,2020-12-31 13:23:27+00:00,0:07:09,0:33:27
2020-12-31 13:56:54+00:00,2020-12-31 14:03:45+00:00,0:06:51,0:34:05
2020-12-31 14:37:50+00:00,2020-12-31 14:44:55+00:00,0:07:05,0:34:19
2020-12-31 15:19:14+00:00,2020-12-31 15:26:24+00:00,0:07:10,0:34:45
2020-12-31 16:01:09+00:00,2020-12-31 16:08:23+00:00,0:07:14,0:34:56
2020-12-31 16:43:19+00:00,2020-12-31 16:50:22+00:00,0:07:03,0:35:12
2020-12-31 17:25:34+00:00,2020-12-31 17:32:53+00:00,0:07:19,0:33:21
2020-12-31 18:06:14+00:00,2020-12-31 18:13:25+00:00,0:07:11,0:33:30
2020-12-31 18:46:55+00:00,2020-12-31 18:53:35+00:00,0:06:40,0:33:16
2020-12-31 19:26:51+00:00,2020-12-31 19:33:41+00:00,0:06:50,0:33:35
2020-12-31 20:07:16+00:00,2020-12-31 20:13:57+00:00,0:06:41,0:33:24
2020-12-31 20:47:21+00:00,2020-12-31 20:54:30+00:00,0:07:09,0:32:37
2020-12-31 21:27:07+00:00,2020-12-31 21:33:50+00:00,0:06:43,0:33:07
2020-12-31 22:06:57+00:00,2020-12-31 22:13:39+00:00,0:06:42,0:33:23
2020-12-31 22:47:02+00:00,2020-12-31 22:53:48+00:00,0:06:46,0:34:02
2020-12-31 23:27:50+00:00,2020-12-31 23:35:00+00:00,0:07:10,0:33:33
2021-01-01 00:08:33+00:00,2021-01-01 00:15:30+00:00,0:06:57,0:32:38
2021-01-01 00:48:08+00:00,2021-01-01 00:55:12+00:00,0:07:04,0:32:39
